total_forehead
0
5.950927734
0.994873047
0.061035156
0.354003906
0.164794922
0.80871582
0.5859375
0.018310547
0
1.214599609
0
0
0
0
0
0.759887695
0.78125
0.061035156
0.262451172
0
1.065063477
5.035400391
0.473022461
0
0
1.089477539
1.068115234
0.29296875
0.073242188
2.111816406
0.55847168
0.173950195
0
0
0.067138672
0
0.5859375
0.439453125
0
0
0.360107422
0.335693359
0.024414063
0
0
0.1953125
0.012207031
1.028442383
0
0.054931641
0
0
0.018310547
0.592041016
0.231933594
0.323486328
0.543212891
0.079345703
0
0
0
0.55847168
0.024414063
0.653076172
0.524902344
0.329589844
0.106811523
0.146484375
0.189208984
1.177978516
0
0
0
0.024414063
0.143432617
1.434326172
0
0
0
0.018310547
0.689697266
0.082397461
1.037597656
0.12512207
0
3.262329102
1.071166992
0.427246094
0.384521484
0
0
0.549316406
0.561523438
0
0.305175781
0
0.323486328
0
1.382446289
